Query,Started,Ended,Billing Tier,Bytes
query/query1.sql,"1570991862395","1570991882109",1,"923795456"
query/query2.sql,"1570991891653","1570991895845",1,"3422552064"
query/query3.sql,"1570991901274","1570991902890",1,"6572474368"
query/query4.sql,"1570991909150","1570991982780",1,"23271047168"
query/query5.sql,"1570992001614","1570992006851",1,"18188599296"
query/query6.sql,"1570992011344","1570992021528",1,"6613368832"
query/query7.sql,"1570992027821","1570992045605",1,"17385390080"
query/query8.sql,"1570992057899","1570992063783",1,"6499074048"
query/query9.sql,"1570992067545","1570992072472",1,"6461325312"
query/query10.sql,"1570992080164","1570992087890",1,"7928283136"
query/query11.sql,"1570992092933","1570992116838",1,"11036262400"
query/query12.sql,"1570992123072","1570992125969",1,"1724907520"
query/query13.sql,"1570992130528","1570992133934",1,"21606957056"
query/query14.sql,"1570992137780","1570992169540",1,"15570305024"
query/query15.sql,"1570992178559","1570992185032",1,"3491758080"
query/query16.sql,"1570992190172","1570992196974",1,"8165261312"
query/query17.sql,"1570992201539","1570992222556",1,"18847105024"
query/query18.sql,"1570992231142","1570992239332",1,"10514071552"
query/query19.sql,"1570992244798","1570992260751",1,"10931404800"
query/query20.sql,"1570992265539","1570992268291",1,"3478126592"
query/query21.sql,"1570992273273","1570992278583",1,"12628000768"
query/query22.sql,"1570992283106","1570992297003",1,"12634292224"
query/query23.sql,"1570992304043","1570992328867",1,"19466813440"
query/query24.sql,"1570992333476","1570992343600",1,"11523850240"
query/query25.sql,"1570992351071","1570992359583",1,"18853396480"
query/query26.sql,"1570992366101","1570992368577",1,"9232711680"
query/query27.sql,"1570992374784","1570992377435",1,"17385390080"
query/query28.sql,"1570992384155","1570992402155",1,"8614051840"
query/query29.sql,"1570992414976","1570992429137",1,"18847105024"
query/query30.sql,"1570992438672","1570992449949",1,"484442112"
query/query31.sql,"1570992456802","1570992466498",1,"8176795648"
query/query32.sql,"1570992473958","1570992475595",1,"3449815040"
query/query33.sql,"1570992482354","1570992487232",1,"15583936512"
query/query34.sql,"1570992492235","1570992495583",1,"10934550528"
query/query35.sql,"1570992500982","1570992528859",1,"7861174272"
query/query36.sql,"1570992542879","1570992554460",1,"10875830272"
query/query37.sql,"1570992561217","1570992563614",1,"10607394816"
query/query38.sql,"1570992569848","1570992581467",1,"7776239616"
query/query39.sql,"1570992587279","1570992594164",1,"12622757888"
query/query40.sql,"1570992599759","1570992657755",1,"6095372288"
query/query41.sql,"1570992672818","1570992673557",1,"15728640"
query/query42.sql,"1570992680486","1570992705499",1,"6570377216"
query/query43.sql,"1570992711502","1570992713124",1,"6462373888"
query/query44.sql,"1570992718674","1570992721004",1,"8723103744"
query/query45.sql,"1570992725659","1570992732963",1,"2313158656"
query/query46.sql,"1570992738928","1570992743824",1,"17413701632"
query/query47.sql,"1570992750067","1570992814417",1,"8724152320"
query/query48.sql,"1570992822895","1570992825886",1,"15145631744"
query/query49.sql,"1570992831655","1570992836765",1,"24966594560"
query/query50.sql,"1570992843524","1570992864959",1,"11859394560"
query/query51.sql,"1570992874843","1570992890250",1,"8255438848"
query/query52.sql,"1570992897332","1570992898671",1,"6572474368"
query/query53.sql,"1570992904937","1570992906718",1,"8728346624"
query/query54.sql,"1570992912665","1570992916600",1,"11663310848"
query/query55.sql,"1570992922516","1570992923902",1,"6572474368"
query/query56.sql,"1570992930037","1570992939873",1,"15586033664"
query/query57.sql,"1570992946956","1570993000266",1,"4600102912"
query/query58.sql,"1570993020040","1570993023531",1,"11705253888"
query/query59.sql,"1570993029172","1570993059477",1,"6463422464"
query/query60.sql,"1570993070594","1570993073454",1,"15586033664"
query/query61.sql,"1570993078810","1570993081707",1,"13075742720"
query/query62.sql,"1570993091738","1570993093386",1,"2819620864"
query/query63.sql,"1570993097880","1570993099336",1,"8728346624"
query/query64.sql,"1570993103870","1570993179413",1,"30682382336"
query/query65.sql,"1570993195662","1570993207223",1,"8746172416"
query/query66.sql,"1570993211350","1570993213859",1,"11973689344"
query/query67.sql,"1570993218929","1570993232852",1,"10886316032"
query/query68.sql,"1570993240101","1570993259313",1,"19566428160"
