Query,Started,Ended,Billing Tier,Bytes
query/query69.sql,"1570993269063","1570993275714",1,"7870611456"
query/query70.sql,"1570993280389","1570993284642",1,"6462373888"
query/query71.sql,"1570993288737","1570993292112",1,"15574499328"
query/query72.sql,"1570993296179","1570993348490",1,"22077767680"
query/query73.sql,"1570993367758","1570993370580",1,"10934550528"
query/query74.sql,"1570993375152","1570993404677",1,"8235515904"
query/query75.sql,"1570993415748","1570993427508",1,"21106786304"
query/query76.sql,"1570993432370","1570993435683",1,"15567159296"
query/query77.sql,"1570993439795","1570993461255",1,"17001611264"
query/query78.sql,"1570993469038","1570993495483",1,"28054650880"
query/query79.sql,"1570993509457","1570993513656",1,"17379098624"
query/query80.sql,"1570993517789","1570993532492",1,"28833742848"
query/query81.sql,"1570993538484","1570993551856",1,"673185792"
query/query82.sql,"1570993559285","1570993598147",1,"11710496768"
query/query83.sql,"1570993613419","1570993621255",1,"1176502272"
query/query84.sql,"1570993625620","1570993629468",1,"365953024"
query/query85.sql,"1570993635070","1570993647030",1,"4453302272"
query/query86.sql,"1570993656040","1570993658871",1,"1697644544"
query/query87.sql,"1570993663168","1570993681112",1,"7776239616"
query/query88.sql,"1570993692195","1570993697951",1,"6463422464"
query/query89.sql,"1570993702573","1570993704471",1,"8726249472"
query/query90.sql,"1570993708633","1570993709788",1,"1693450240"
query/query91.sql,"1570993714240","1570993717813",1,"577765376"
query/query92.sql,"1570993721542","1570993724548",1,"1696595968"
query/query93.sql,"1570993729352","1570993763668",1,"11857297408"
query/query94.sql,"1570993770929","1570993777810",1,"4016046080"
query/query95.sql,"1570993783086","1570993796049",1,"4016046080"
query/query96.sql,"1570993803647","1570993804707",1,"6463422464"
query/query97.sql,"1570993809024","1570993817604",1,"10008657920"
query/query98.sql,"1570993822596","1570993827202",1,"6595543040"
query/query99.sql,"1570993831038","1570993833980",1,"5733613568"
