Query,Started,Ended,Billing Tier,Bytes
query/query1.sql,"1570971307637","1570971322662",1,"103809024"
query/query2.sql,"1570971328715","1570971334014",1,"347078656"
query/query3.sql,"1570971337868","1570971340632",1,"677380096"
query/query4.sql,"1570971344689","1570971359597",1,"2377121792"
query/query5.sql,"1570971364821","1570971368688",1,"1849688064"
query/query6.sql,"1570971372825","1570971376983",1,"686817280"
query/query7.sql,"1570971380880","1570971384986",1,"1824522240"
query/query8.sql,"1570971388970","1570971392628",1,"671088640"
query/query9.sql,"1570971395937","1570971399791",1,"660602880"
query/query10.sql,"1570971403920","1570971408989",1,"932184064"
query/query11.sql,"1570971413072","1570971479862",1,"1153433600"
query/query12.sql,"1570971484252","1570971488426",1,"190840832"
query/query13.sql,"1570971492251","1570971496491",1,"2252341248"
query/query14.sql,"1570971500351","1570971509141",1,"1585446912"
query/query15.sql,"1570971513134","1570971518524",1,"358612992"
query/query16.sql,"1570971522427","1570971525634",1,"819986432"
query/query17.sql,"1570971529802","1570971542872",1,"1927282688"
query/query18.sql,"1570971549808","1570971554688",1,"1126170624"
query/query19.sql,"1570971559421","1570971562300",1,"1131413504"
query/query20.sql,"1570971566278","1570971568739",1,"361758720"
query/query21.sql,"1570971572938","1570971576777",1,"4212129792"
query/query22.sql,"1570971580837","1570971588496",1,"4214226944"
query/query23.sql,"1570971592484","1570971611351",1,"1990197248"
query/query24.sql,"1570971621903","1570971635906",1,"1195376640"
query/query25.sql,"1570971642094","1570971662032",1,"1928331264"
query/query26.sql,"1570971670208","1570971673572",1,"970981376"
query/query27.sql,"1570971677137","1570971692275",1,"1824522240"
query/query28.sql,"1570971697086","1570971700114",1,"880803840"
query/query29.sql,"1570971703969","1570971731735",1,"1928331264"
query/query30.sql,"1570971743322","1570971747607",1,"90177536"
query/query31.sql,"1570971751231","1570971755133",1,"840957952"
query/query32.sql,"1570971759576","1570971762850",1,"348127232"
query/query33.sql,"1570971767006","1570971772057",1,"1588592640"
query/query34.sql,"1570971775973","1570971777963",1,"1129316352"
query/query35.sql,"1570971781777","1570971796874",1,"874512384"
query/query36.sql,"1570971801866","1570971804363",1,"1114636288"
query/query37.sql,"1570971807617","1570971810162",1,"3273654272"
query/query38.sql,"1570971814253","1570971826799",1,"799014912"
query/query39.sql,"1570971834470","1570971840952",1,"4208984064"
query/query40.sql,"1570971844986","1570971850176",1,"614465536"
query/query41.sql,"1570971854496","1570971855380",1,"10485760"
query/query42.sql,"1570971859020","1570971861478",1,"676331520"
query/query43.sql,"1570971864883","1570971867016",1,"662700032"
query/query44.sql,"1570971870620","1570971882105",1,"894435328"
query/query45.sql,"1570971885426","1570971890502",1,"247463936"
query/query46.sql,"1570971894587","1570971899054",1,"1793064960"
query/query47.sql,"1570971902653","1570971911565",1,"896532480"
query/query48.sql,"1570971915337","1570971917596",1,"1591738368"
query/query49.sql,"1570971921197","1570971923441",1,"2536505344"
query/query50.sql,"1570971926841","1570971934817",1,"1214251008"
query/query51.sql,"1570971938654","1570971963301",1,"846200832"
query/query52.sql,"1570971968087","1570971969988",1,"677380096"
query/query53.sql,"1570971974235","1570971978123",1,"898629632"
query/query54.sql,"1570971983081","1570971998021",1,"1197473792"
query/query55.sql,"1570972003405","1570972005828",1,"677380096"
query/query56.sql,"1570972010010","1570972012862",1,"1589641216"
query/query57.sql,"1570972017046","1570972040316",1,"464519168"
query/query58.sql,"1570972045727","1570972052053",1,"1193279488"
query/query59.sql,"1570972056477","1570972066032",1,"662700032"
query/query60.sql,"1570972071938","1570972075283",1,"1589641216"
query/query61.sql,"1570972079829","1570972083990",1,"1346371584"
query/query62.sql,"1570972088118","1570972090152",1,"289406976"
query/query63.sql,"1570972094208","1570972097562",1,"898629632"
query/query64.sql,"1570972102430","1570972128941",1,"3169845248"
query/query65.sql,"1570972143212","1570972149497",1,"907018240"
